Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
323.0,6.0,64.0,8252.608249065252,8252.608249065252,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3055.3,66.0,486.0,201.4091916786344,170.4142826256591,78.5,169402747.2924925,13.5,20.061075215614064,241.4071930518623,29192.663023992336,1.0,244.6
1090910.6,17.0,64.0,108.1211523539272,108.1211523539272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1914.6,126.0,486.0,355.20698412698414,161.02172645378266,340.4,0.0159506797790527,5.5,26.59288227276138,227.71910938767004,28903.74791433611,0.9,38.5
1854126.6,17.0,64.0,110.53199371342107,110.53199371342107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,14022.6,86.0,1398.0,903.962368866084,523.8293773645973,1026.8,169402750.12597018,13.5,42.53788038280286,742.3734378179645,275584.9175539383,1.0,244.6
6169.4,6.0,64.0,1.961376447618774,1.961376447618774,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4579.2,66.0,1094.0,303.2196349702928,307.9324177027076,80.8,169402750.9927817,13.5,24.60374549630092,436.1884476774693,95304.62498187806,1.0,244.6
4214768.6,17.0,64.0,120.46987540126896,120.46987540126896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1866.6,126.0,857.2,322.70412698412696,272.3824237177692,428.4,0.0056831836700439,5.5,25.059111889883788,385.2069177737242,104157.00234819856,0.9,38.5
3634122.2,17.0,64.0,123.08168944297076,123.08168944297076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3620.2,108.4,1284.4,619.9473015873016,574.663009247439,633.2,0.0015779972076416,5.5,34.5714572986068,812.6962214718636,367049.7266414714,0.9,38.5
4607776.2,17.0,64.0,120.09830439457645,120.09830439457645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,11824.2,118.0,1414.0,766.5785516513072,630.4016367539987,710.0,169402753.05586082,13.5,39.231906769834,891.4045293440704,397500.1693035095,1.0,244.6
4506120.2,17.0,64.0,120.81710436083844,120.81710436083844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3684.2,118.0,1284.4,623.1822222222222,556.6509207811639,673.2,0.0007190227508544,5.5,34.66446910988307,787.2232816761934,344663.94130511465,0.9,38.5
784227.0,17.0,64.0,106.75980606737798,106.75980606737798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4537.0,247.6,1414.0,881.8171428571428,577.1189248254307,766.0,0.0009979963302612,5.5,41.789981298677546,816.1694105903027,370193.0370612245,0.9,38.5
4071835.4,17.0,64.0,122.26899609299406,122.26899609299406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5611.4,86.0,534.0,362.4341153926912,169.78055640415064,351.6,169402752.150007,13.5,26.89757477461497,240.390086734736,28908.673042022787,1.0,244.6
